Year,Gannet Clusters,Outer Gannet Island,Herring Islands,Kidlit Islands,North Green Island,The Castle,The Doughboy,Baccalieu Island,Cabot Island,Cape St. Mary's,Funk Island,Great Island,Gull Island,The Drook,North Shore,Gaspe
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,2500,NA,NA,50,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,15000,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,NA,NA,NA,NA,NA
1952,2750,8900,NA,NA,NA,NA,NA,NA,NA,NA,50000,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400000,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,2500,NA,2500,500000,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,NA,NA,NA
1972,17500,17700,NA,NA,NA,NA,NA,NA,NA,NA,389097,1970,NA,NA,5634,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2800,680,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589,NA,9235,NA
1978,20616,26144,4133,737,186,NA,0,NA,NA,NA,NA,NA,687,NA,NA,NA
1979,NA,NA,NA,NA,NA,250,NA,1500,3232,10000,NA,2800,680,NA,NA,11866
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396400,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14615,NA
1983,37155,23734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,2600,NA,NA,NA,NA,12,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26049,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27857
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30829,NA
1998,19360,17342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30124,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412524,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1172,NA,NA,NA
2002,NA,NA,NA,NA,445,NA,261,NA,NA,NA,NA,6098,998,NA,NA,28664
2003,NA,NA,NA,NA,NA,NA,NA,1086,NA,NA,NA,7369,1632,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5128,4963,138,14877,NA
2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3793,NA,NA,NA
2007,17614,13556,NA,NA,NA,NA,NA,NA,NA,15484,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3042,NA,NA,NA
2009,NA,NA,NA,40,NA,47,NA,NA,10000,NA,470639,4656,3496,152,NA,NA
2010,NA,NA,2033,NA,25,NA,NA,1441,NA,NA,NA,NA,NA,NA,26337,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534,4059,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9929,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8449,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14364,NA,NA,NA
